timestamp,plan,feature_or_endpoint,test_files,num_cases,time_minutes,notes
2025-11-20T20:15:00,A,"Crear reserva vía Usuario (pruebas manuales en Swagger)","-",4,25,"Exploración inicial de /usuario/add_reservation usando http://localhost:5003/apidocs/#/, definiendo 4 casos manuales (happy path, body vacío, email inválido, status inválido)."
2025-11-20T21:00:00,B,"Crear reserva vía Usuario (casos automatizados RAG)","test_usuario_add_reservation_rag.py",8,18,"Conversación asistida + codificación directa de 8 casos en pytest: body vacío, email inválido, status inválido, campo faltante, ruta no asociada, asiento inexistente, asiento no libre y happy path."
2025-11-21T19:30:00,A,"Crear pago vía Usuario (pruebas manuales en Swagger)","-",3,20,"Pruebas manuales en http://localhost:5003/apidocs/#/ sobre /usuario/create_payment: body vacío, reservation_id inválido y reserva inexistente."
2025-11-21T20:05:00,B,"Crear pago vía Usuario (casos automatizados RAG)","test_usuario_create_payment_rag.py",6,15,"Diseño asistido de 6 casos automatizados para /usuario/create_payment (body vacío, reservation_id inválido, método inválido, moneda inválida, reserva inexistente y caso feliz)."
2025-11-21T21:10:00,B,"Listar y consultar pagos vía Usuario","test_usuario_get_payments_rag.py",5,15,"Generación de casos para /usuario/get_payment_by_id y /usuario/get_all_payments: formato de payment_id inválido, pago inexistente, contrato de listado y caso feliz."
2025-11-22T09:45:00,B,"Editar pago vía Usuario","test_usuario_edit_payment_rag.py",5,18,"Diseño de pruebas para /usuario/edit_payment: body vacío, payment_id inválido, campos extra no permitidos, pago inexistente y caso feliz; se ajustaron mensajes a la implementación real."
2025-11-22T10:30:00,B,"Consultas de reservas vía Usuario","test_usuario_get_reservations_rag.py",8,22,"Casos para /get_reservation_by_code y /get_reservation_by_id: código vacío, código inexistente, id=0, id negativo, id inexistente, casos felices y contrato de /get_all_reservations."
2025-11-22T11:30:00,B,"Eliminar reserva vía Usuario","test_usuario_delete_reservation_rag.py",4,20,"Diseño de pruebas para /usuario/delete_reservation_by_id: id inválido (0), id inexistente, caso feliz y segundo DELETE esperado 404; se detectó discrepancia (backend responde 200 en el segundo DELETE)."
2025-11-23T15:00:00,B,"Listar aviones, rutas y asientos vía Usuario","test_usuario_airplanes_lists_rag.py;test_usuario_flights_routes_seats_rag.py",10,40,"Casos para /get_all_airplanes_routes, /get_all_airplanes_with_seats, /get_airplane_route_by_id y /get_seats_by_airplane_id: IDs 0/negativos, rutas inexistentes, avión inexistente, errores 500 y casos felices."
2025-11-23T16:10:00,B,"CRUD de aviones y rutas en GestiónVuelos","test_gestionvuelos_rag.py",12,60,"Diseño de batería de pruebas para /add_airplane, /update_airplane, /delete_airplane_by_id, /add_airplane_route, /update_airplane_route_by_id, /delete_airplane_route_by_id y listados; incluye validaciones de año, capacidad, moneda, fechas y duplicados."
2025-11-24T09:20:00,B,"Reservas y pagos en GestiónReservas","test_gestionreservas_add_reservation_rag.py;test_gestionreservas_create_payment_rag.py;test_gestionreservas_cancel_payment_and_reservation_rag.py;test_gestionreservas_edit_reservation_rag.py;test_gestionreservas_edit_payment_rag.py;test_gestionreservas_get_*_rag.py",15,50,"Diseño y refinamiento de casos para alta/edición/borrado de reservas y pagos en GestiónReservas, incluyendo validaciones de formato, estados, recursos inexistentes y contratos de listados."
2025-11-24T11:00:00,B,"Health check y smoke tests de Usuario","test_usuario_health_rag.py",2,8,"Creación de pruebas simples para /health y verificación básica del contrato de respuesta del microservicio Usuario."
2025-11-24T11:30:00,B,"Flujo end-to-end reserva + pago + cancelación vía Usuario","test_usuario.py",1,30,"Diseño del flujo E2E: buscar ruta y asiento libre, crear reserva, verificar, crear pago, verificar, cancelar y verificar eliminación; la ejecución reveló un timeout en /usuario/add_reservation que requiere corrección en el backend."
2025-11-25T18:00:00,B,"Experimento de status de reserva en GestiónReservas","test_reservas.py",3,25,"Diseño de pruebas para explorar el enum real de 'status' en /add_reservation usando candidatos sugeridos y lectura del spec; todos los valores iniciales fueron rechazados (400), obligando a revisar el esquema real."
2025-11-26T22:30,Plan B,/add_airplane + /openapi.json,"test_ai_workflow.py",1,30,"Se creó endpoint /openapi.json en GestionVuelos y se alineó el test de contrato repo vs live."
