test_name,run_1,run_2,is_flaky
.tests.api.test_ai_workflow,skipped,skipped,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_asiento_no_existe_400,passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_asiento_no_libre_409,passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_happy_path,passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_ruta_no_asociada_400,passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_ruta_no_encontrada_400,passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_validaciones_basicas[GR_ADDRES_BODY_VACIO_400-None-500-Error interno del servidor],passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_validaciones_basicas[GR_ADDRES_CAMPO_FALTANTE_400-body3-400-Error de validaci\xf3n],passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_validaciones_basicas[GR_ADDRES_EMAIL_INVALIDO_400-body1-400-Error de validaci\xf3n],passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_validaciones_basicas[GR_ADDRES_STATUS_INVALIDO_400-body2-400-Error de validaci\xf3n],passed,passed,False
tests.api.test_gestionreservas_cancel_payment_and_reservation_rag.test_gestionreservas_cancel_payment_and_reservation_formato_invalido_400,passed,passed,False
tests.api.test_gestionreservas_cancel_payment_and_reservation_rag.test_gestionreservas_cancel_payment_and_reservation_happy_path,passed,passed,False
tests.api.test_gestionreservas_cancel_payment_and_reservation_rag.test_gestionreservas_cancel_payment_and_reservation_no_existe_404,passed,passed,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_happy_path,passed,passed,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_reserva_ya_tiene_pago_409,skipped,skipped,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_validaciones_basicas_y_404[GR_CPAY_METHOD_INVALIDO_400-body1-400-M\xe9todo de pago inv\xe1lido.],passed,passed,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_validaciones_basicas_y_404[GR_CPAY_MONEDA_INVALIDA_400-body2-400-Moneda no soportada.],passed,passed,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_validaciones_basicas_y_404[GR_CPAY_RES_ID_INVALIDO_400-body0-400-El reservation_id debe ser un n\xfamero entero positivo.],passed,passed,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_validaciones_basicas_y_404[GR_CPAY_RES_NO_EXISTE_404-body3-404-no encontrada],passed,passed,False
tests.api.test_gestionreservas_delete_payment_by_id_rag.test_gestionreservas_delete_payment_by_id_formato_invalido_400,passed,passed,False
tests.api.test_gestionreservas_delete_payment_by_id_rag.test_gestionreservas_delete_payment_by_id_happy_path,passed,passed,False
tests.api.test_gestionreservas_delete_payment_by_id_rag.test_gestionreservas_delete_payment_by_id_no_existe_404,passed,passed,False
tests.api.test_gestionreservas_delete_reservation_by_id_rag.test_gestionreservas_delete_reservation_by_id_happy_path,passed,passed,False
tests.api.test_gestionreservas_delete_reservation_by_id_rag.test_gestionreservas_delete_reservation_by_id_validaciones_y_404[GR_DELRES_ID_CERO_400-/delete_reservation_by_id/0-400-El ID de reserva debe ser un n\xfamero positivo],passed,passed,False
tests.api.test_gestionreservas_delete_reservation_by_id_rag.test_gestionreservas_delete_reservation_by_id_validaciones_y_404[GR_DELRES_NO_EXISTE_404-/delete_reservation_by_id/999999-404-Reserva no encontrada],passed,passed,False
tests.api.test_gestionreservas_edit_payment_rag.test_gestionreservas_edit_payment_happy_path,skipped,skipped,False
tests.api.test_gestionreservas_edit_payment_rag.test_gestionreservas_edit_payment_validaciones_basicas[GR_EDITPAY_BODY_AUSENTE_415-REAL_FROM_FIXTURE-None-415-unsupported media type-True],skipped,skipped,False
tests.api.test_gestionreservas_edit_payment_rag.test_gestionreservas_edit_payment_validaciones_basicas[GR_EDITPAY_FMT_400-ABC-body0-400-formato del payment_id es inv\xe1lido-False],passed,passed,False
tests.api.test_gestionreservas_edit_payment_rag.test_gestionreservas_edit_payment_validaciones_basicas[GR_EDITPAY_METODO_INVALIDO_400-REAL_FROM_FIXTURE-body3-400-m\xe9todo de pago inv\xe1lido-False],skipped,skipped,False
tests.api.test_gestionreservas_edit_payment_rag.test_gestionreservas_edit_payment_validaciones_basicas[GR_EDITPAY_NO_EXISTE_404-PAY999999-body1-404-no se encontr\xf3 el pago con id-False],passed,passed,False
tests.api.test_gestionreservas_edit_reservation_rag.test_gestionreservas_edit_reservation_asiento_no_existe_400,passed,passed,False
tests.api.test_gestionreservas_edit_reservation_rag.test_gestionreservas_edit_reservation_asiento_no_libre_409,passed,passed,False
